image_id;true_labels;predicted_labels
('0019.jpg',);aluminium|plastic;aluminium|plastic
('0041.jpg',);aluminium|plastic;aluminium|plastic
('0008.jpg',);aluminium|plastic;aluminium|plastic
('0275.jpg',);aluminium|plastic;aluminium|plastic
('0090.jpg',);aluminium|plastic;aluminium|plastic
('0213.jpg',);aluminium|plastic;aluminium|plastic
('5299.jpg',);aluminium|plastic;plastic|rigid plastic container
('0242.jpg',);aluminium|plastic;aluminium|plastic
('0226.jpg',);aluminium|plastic;aluminium|plastic
('0238.jpg',);aluminium|plastic;aluminium|plastic
('5283.jpg',);aluminium|plastic;composite carton
('0283.jpg',);aluminium|plastic;aluminium|plastic
('0243.jpg',);aluminium|plastic;aluminium|plastic
('0279.jpg',);aluminium|plastic;aluminium|plastic
('0049.jpg',);aluminium|plastic;aluminium|plastic
('0058.jpg',);aluminium|plastic;aluminium|plastic
('0246.jpg',);aluminium|plastic;aluminium|plastic
('0066.jpg',);aluminium|plastic;aluminium|plastic
('0011.jpg',);aluminium|plastic;aluminium|plastic
('0251.jpg',);aluminium|plastic;aluminium|plastic
('0247.jpg',);aluminium|plastic;aluminium|plastic
('0163.jpg',);aluminium|plastic;aluminium|plastic
('0289.jpg',);aluminium|plastic;aluminium|plastic
('0099.jpg',);aluminium|plastic;aluminium|plastic
('0508.jpg',);cardboard;cardboard
('0333.jpg',);cardboard;cardboard
('0340.jpg',);cardboard;cardboard
('0630.jpg',);cardboard;cardboard
('0353.jpg',);cardboard;cardboard
('0328.jpg',);cardboard;cardboard
('0020.jpg',);cardboard;cardboard
('0198.jpg',);cardboard;cardboard
('0496.jpg',);cardboard;cardboard
('0321.jpg',);cardboard;cardboard
('0119.jpg',);cardboard;cardboard
('1622.jpg',);cardboard;cardboard
('0327.jpg',);cardboard;cardboard
('0084.jpg',);cardboard;cardboard
('0690.jpg',);cardboard;cardboard
('0646.jpg',);cardboard;cardboard
('0077.jpg',);cardboard;cardboard
('0672.jpg',);cardboard;cardboard
('0332.jpg',);cardboard;cardboard
('0492.jpg',);cardboard;cardboard
('0518.jpg',);cardboard;cardboard
('0390.jpg',);cardboard;cardboard
('0236.jpg',);cardboard;cardboard
('0474.jpg',);cardboard;cardboard
('0689.jpg',);cardboard;cardboard
('0624.jpg',);cardboard;cardboard
('0366.jpg',);cardboard;cardboard
('0440.jpg',);cardboard;cardboard
('0308.jpg',);cardboard;cardboard
('0357.jpg',);cardboard;cardboard
('0159.jpg',);cardboard;cardboard
('0610.jpg',);cardboard;cardboard
('0529.jpg',);cardboard;cardboard
('0070.jpg',);cardboard;cardboard
('0691.jpg',);cardboard;cardboard
('0463.jpg',);cardboard;cardboard
('0444.jpg',);cardboard;cardboard
('0446.jpg',);cardboard;cardboard
('0445.jpg',);cardboard;cardboard
('0135.jpg',);cardboard;cardboard
('0557.jpg',);cardboard;cardboard
('0326.jpg',);cardboard;cardboard
('0552.jpg',);cardboard;cardboard
('0433.jpg',);cardboard;cardboard
('0682.jpg',);cardboard;cardboard
('0137.jpg',);cardboard;cardboard
('0375.jpg',);cardboard;cardboard
('0651.jpg',);cardboard;cardboard
('0519.jpg',);cardboard;cardboard
('0397.jpg',);cardboard;cardboard
('0032.jpg',);cardboard;cardboard
('0614.jpg',);cardboard;cardboard
('0442.jpg',);cardboard;cardboard
('0611.jpg',);cardboard;cardboard
('0658.jpg',);cardboard;cardboard
('0669.jpg',);cardboard;cardboard
('0504.jpg',);cardboard;cardboard
('0176.jpg',);cardboard;cardboard
('0598.jpg',);cardboard;cardboard
('0197.jpg',);cardboard;cardboard
('0165.jpg',);cardboard;cardboard
('0573.jpg',);cardboard;cardboard
('2151.jpg',);cardboard;paper
('0574.jpg',);cardboard;cardboard
('0339.jpg',);cardboard;cardboard
('0629.jpg',);cardboard;cardboard
('0330.jpg',);cardboard;cardboard
('0599.jpg',);cardboard;cardboard
('0526.jpg',);cardboard;cardboard
('0641.jpg',);cardboard;cardboard
('0129.jpg',);cardboard;cardboard
('0544.jpg',);cardboard;cardboard
('0395.jpg',);cardboard;cardboard
('0548.jpg',);cardboard;cardboard
('0479.jpg',);cardboard;cardboard
('2170.jpg',);cardboard;cardboard
('0127.jpg',);cardboard;cardboard
('0462.jpg',);cardboard;cardboard
('0473.jpg',);cardboard;cardboard
('2150.jpg',);cardboard;cardboard
('0609.jpg',);cardboard;cardboard
('1389.jpg',);metal;metal
('1617.jpg',);metal;metal
('1598.jpg',);metal;metal
('1426.jpg',);metal;metal
('1398.jpg',);metal;metal
('1277.jpg',);metal;metal
('1525.jpg',);metal;metal
('1403.jpg',);metal;metal
('1559.jpg',);metal;metal
('1606.jpg',);metal;metal
('1549.jpg',);metal;metal
('1335.jpg',);metal;metal
('1338.jpg',);metal;metal
('1422.jpg',);metal;metal
('1536.jpg',);metal;metal
('1361.jpg',);metal;metal
('1311.jpg',);metal;metal
('1230.jpg',);metal;metal
('1251.jpg',);metal;metal
('1601.jpg',);metal;metal
('1353.jpg',);metal;metal
('1390.jpg',);metal;metal
('1548.jpg',);metal;metal|white glass
('1360.jpg',);metal;metal
('1458.jpg',);metal;metal
('1407.jpg',);metal;metal
('1503.jpg',);metal;metal
