Image ID;labels;;;;;
0019.jpg;plastic|aluminium;;;;;
0041.jpg;plastic|aluminium;;;;;
0008.jpg;plastic|aluminium;;;;;
0275.jpg;plastic|aluminium;;;;;
0090.jpg;plastic|aluminium;;;;;
0213.jpg;plastic|aluminium;;;;;
5299.jpg;plastic|aluminium;;;;;
0242.jpg;plastic|aluminium;;;;;
0226.jpg;plastic|aluminium;;;;;
0238.jpg;plastic|aluminium;;;;;
5283.jpg;plastic|aluminium;;;;;
0283.jpg;plastic|aluminium;;;;;
0243.jpg;plastic|aluminium;;;;;
0279.jpg;plastic|aluminium;;;;;
0049.jpg;plastic|aluminium;;;;;
0058.jpg;plastic|aluminium;;;;;
0246.jpg;plastic|aluminium;;;;;
0066.jpg;plastic|aluminium;;;;;
0011.jpg;plastic|aluminium;;;;;
0251.jpg;plastic|aluminium;;;;;
0247.jpg;plastic|aluminium;;;;;
0163.jpg;plastic|aluminium;;;;;
0289.jpg;plastic|aluminium;;;;;
0099.jpg;plastic|aluminium;;;;;
0508.jpg;cardboard;;;;;
0333.jpg;cardboard;;;;;
0340.jpg;cardboard;;;;;
0630.jpg;cardboard;;;;;
0353.jpg;cardboard;;;;;
0328.jpg;cardboard;;;;;
0020.jpg;cardboard;;;;;
0198.jpg;cardboard;;;;;
0496.jpg;cardboard;;;;;
0321.jpg;cardboard;;;;;
0119.jpg;cardboard;;;;;
1622.jpg;cardboard;;;;;
0327.jpg;cardboard;;;;;
0084.jpg;cardboard;;;;;
0690.jpg;cardboard;;;;;
0646.jpg;cardboard;;;;;
0077.jpg;cardboard;;;;;
0672.jpg;cardboard;;;;;
0332.jpg;cardboard;;;;;
0492.jpg;cardboard;;;;;
0518.jpg;cardboard;;;;;
0390.jpg;cardboard;;;;;
0236.jpg;cardboard;;;;;
0474.jpg;cardboard;;;;;
0689.jpg;cardboard;;;;;
0624.jpg;cardboard;;;;;
0366.jpg;cardboard;;;;;
0440.jpg;cardboard;;;;;
0308.jpg;cardboard;;;;;
0357.jpg;cardboard;;;;;
0159.jpg;cardboard;;;;;
0610.jpg;cardboard;;;;;
0529.jpg;cardboard;;;;;
0070.jpg;cardboard;;;;;
0691.jpg;cardboard;;;;;
0463.jpg;cardboard;;;;;
0444.jpg;cardboard;;;;;
0446.jpg;cardboard;;;;;
0445.jpg;cardboard;;;;;
0135.jpg;cardboard;;;;;
0557.jpg;cardboard;;;;;
0326.jpg;cardboard;;;;;
0552.jpg;cardboard;;;;;
0433.jpg;cardboard;;;;;
0682.jpg;cardboard;;;;;
0137.jpg;cardboard;;;;;
0375.jpg;cardboard;;;;;
0651.jpg;cardboard;;;;;
0519.jpg;cardboard;;;;;
0397.jpg;cardboard;;;;;
0032.jpg;cardboard;;;;;
0614.jpg;cardboard;;;;;
0442.jpg;cardboard;;;;;
0611.jpg;cardboard;;;;;
0658.jpg;cardboard;;;;;
0669.jpg;cardboard;;;;;
0504.jpg;cardboard;;;;;
0176.jpg;cardboard;;;;;
0598.jpg;cardboard;;;;;
0197.jpg;cardboard;;;;;
0165.jpg;cardboard;;;;;
0573.jpg;cardboard;;;;;
2151.jpg;cardboard;;;;;
0574.jpg;cardboard;;;;;
0339.jpg;cardboard;;;;;
0629.jpg;cardboard;;;;;
0330.jpg;cardboard;;;;;
0599.jpg;cardboard;;;;;
0526.jpg;cardboard;;;;;
0641.jpg;cardboard;;;;;
0129.jpg;cardboard;;;;;
0544.jpg;cardboard;;;;;
0395.jpg;cardboard;;;;;
0548.jpg;cardboard;;;;;
0479.jpg;cardboard;;;;;
2170.jpg;cardboard;;;;;
0127.jpg;cardboard;;;;;
0462.jpg;cardboard;;;;;
0473.jpg;cardboard;;;;;
2150.jpg;cardboard;;;;;
0609.jpg;cardboard;;;;;
1389.jpg;metal;;;;;
1617.jpg;metal;;;;;
1598.jpg;metal;;;;;
1426.jpg;metal;;;;;
1398.jpg;metal;;;;;
1277.jpg;metal;;;;;
1525.jpg;metal;;;;;
1403.jpg;metal;;;;;
1559.jpg;metal;;;;;
1606.jpg;metal;;;;;
1549.jpg;metal;;;;;
1335.jpg;metal;;;;;
1338.jpg;metal;;;;;
1422.jpg;metal;;;;;
1536.jpg;metal;;;;;
1361.jpg;metal;;;;;
1311.jpg;metal;;;;;
1230.jpg;metal;;;;;
1251.jpg;metal;;;;;
1601.jpg;metal;;;;;
1353.jpg;metal;;;;;
1390.jpg;metal;;;;;
1548.jpg;metal;;;;;
1360.jpg;metal;;;;;
1458.jpg;metal;;;;;
1407.jpg;metal;;;;;
1503.jpg;metal;;;;;
0155.jpg;metal;;;;;
1417.jpg;metal;;;;;
1468.jpg;metal;;;;;
1363.jpg;metal;;;;;
1510.jpg;metal;;;;;
1404.jpg;metal;;;;;
1434.jpg;metal;;;;;
1341.jpg;metal;;;;;
1472.jpg;metal;;;;;
5199.jpg;metal;;;;;
1529.jpg;metal;;;;;
1447.jpg;metal;;;;;
1506.jpg;metal;;;;;
1224.jpg;metal;;;;;
1315.jpg;metal;;;;;
1542.jpg;metal;;;;;
1505.jpg;metal;;;;;
1592.jpg;metal;;;;;
1547.jpg;metal;;;;;
1540.jpg;metal;;;;;
1233.jpg;metal;;;;;
1526.jpg;metal;;;;;
1453.jpg;metal;;;;;
1502.jpg;metal;;;;;
1310.jpg;metal;;;;;
1368.jpg;metal;;;;;
1402.jpg;metal;;;;;
1397.jpg;metal;;;;;
2374.jpg;plastic;;;;;
2386.jpg;plastic;;;;;
5262.jpg;plastic;;;;;
3445.jpg;plastic;;;;;
4335.jpg;plastic;;;;;
5167.jpg;plastic;;;;;
5168.jpg;plastic;;;;;
5259.jpg;plastic;;;;;
2268.jpg;plastic;;;;;
2610.jpg;plastic;;;;;
4168.jpg;plastic;;;;;
5211.jpg;plastic;;;;;
2438.jpg;plastic;;;;;
2611.jpg;plastic;;;;;
2344.jpg;plastic;;;;;
2335.jpg;plastic;;;;;
2372.jpg;plastic;;;;;
2329.jpg;plastic;;;;;
2478.jpg;plastic;;;;;
5264.jpg;plastic;;;;;
3752.jpg;plastic;;;;;
4255.jpg;plastic;;;;;
0014.jpg;plastic;;;;;
2220.jpg;plastic;;;;;
5239.jpg;plastic;;;;;
2510.jpg;plastic;;;;;
2301.jpg;plastic;;;;;
2410.jpg;plastic;;;;;
2513.jpg;plastic;;;;;
0288.jpg;plastic;;;;;
0286.jpg;plastic;;;;;
5194.jpg;plastic;;;;;
5236.jpg;plastic;;;;;
3449.jpg;plastic;;;;;
2481.jpg;plastic;;;;;
2661.jpg;plastic;;;;;
3836.jpg;plastic;;;;;
3444.jpg;plastic;;;;;
5178.jpg;plastic;;;;;
2487.jpg;plastic;;;;;
2427.jpg;plastic;;;;;
2406.jpg;plastic;;;;;
3547.jpg;plastic;;;;;
2589.jpg;plastic;;;;;
4342.jpg;plastic;;;;;
3748.jpg;plastic;;;;;
2378.jpg;plastic;;;;;
2535.jpg;plastic;;;;;
2390.jpg;plastic;;;;;
2590.jpg;plastic;;;;;
3447.jpg;plastic;;;;;
2468.jpg;plastic;;;;;
5246.jpg;plastic;;;;;
4326.jpg;plastic;;;;;
0232.jpg;plastic;;;;;
5325.jpg;plastic;;;;;
3835.jpg;plastic;;;;;
2554.jpg;plastic;;;;;
2635.jpg;plastic;;;;;
0091.jpg;plastic;;;;;
2532.jpg;plastic;;;;;
4644.jpg;residual waste;;;;;
4620.jpg;residual waste;;;;;
4706.jpg;residual waste;;;;;
4502.jpg;residual waste;;;;;
4460.jpg;residual waste;;;;;
4555.jpg;residual waste;;;;;
4506.jpg;residual waste;;;;;
4485.jpg;residual waste;;;;;
4652.jpg;residual waste;;;;;
3051.jpg;residual waste;;;;;
4582.jpg;residual waste;;;;;
4415.jpg;residual waste;;;;;
4551.jpg;residual waste;;;;;
4417.jpg;residual waste;;;;;
4471.jpg;residual waste;;;;;
4500.jpg;residual waste;;;;;
4601.jpg;residual waste;;;;;
4580.jpg;residual waste;;;;;
3124.jpg;residual waste;;;;;
4576.jpg;residual waste;;;;;
4607.jpg;residual waste;;;;;
3401.jpg;residual waste;;;;;
4473.jpg;residual waste;;;;;
4476.jpg;residual waste;;;;;
4389.jpg;residual waste;;;;;
4831.jpg;residual waste;;;;;
4651.jpg;residual waste;;;;;
4565.jpg;residual waste;;;;;
4700.jpg;residual waste;;;;;
4787.jpg;residual waste;;;;;
3391.jpg;residual waste;;;;;
0274.jpg;residual waste;;;;;
4821.jpg;residual waste;;;;;
0133.jpg;residual waste;;;;;
4707.jpg;residual waste;;;;;
4467.jpg;residual waste;;;;;
0016.jpg;residual waste;;;;;
4969.jpg;composite carton;;;;;
5030.jpg;composite carton;;;;;
5005.jpg;composite carton;;;;;
5113.jpg;composite carton;;;;;
5132.jpg;composite carton;;;;;
5295.jpg;composite carton;;;;;
5157.jpg;composite carton;;;;;
5072.jpg;composite carton;;;;;
5143.jpg;composite carton;;;;;
5124.jpg;composite carton;;;;;
5025.jpg;composite carton;;;;;
5092.jpg;composite carton;;;;;
5006.jpg;composite carton;;;;;
5052.jpg;composite carton;;;;;
5041.jpg;composite carton;;;;;
5055.jpg;composite carton;;;;;
5008.jpg;composite carton;;;;;
5023.jpg;composite carton;;;;;
5258.jpg;composite carton;;;;;
4990.jpg;composite carton;;;;;
5035.jpg;composite carton;;;;;
5127.jpg;composite carton;;;;;
5128.jpg;composite carton;;;;;
5024.jpg;composite carton;;;;;
5297.jpg;composite carton;;;;;
5067.jpg;composite carton;;;;;
2838.jpg;organic waste;;;;;
2891.jpg;organic waste;;;;;
2743.jpg;organic waste;;;;;
2820.jpg;organic waste;;;;;
3021.jpg;organic waste;;;;;
2993.jpg;organic waste;;;;;
2783.jpg;organic waste;;;;;
2890.jpg;organic waste;;;;;
2940.jpg;organic waste;;;;;
2977.jpg;organic waste;;;;;
2721.jpg;organic waste;;;;;
2956.jpg;organic waste;;;;;
2773.jpg;organic waste;;;;;
2876.jpg;organic waste;;;;;
2731.jpg;organic waste;;;;;
2997.jpg;organic waste;;;;;
2909.jpg;organic waste;;;;;
2835.jpg;organic waste;;;;;
3022.jpg;organic waste;;;;;
2742.jpg;organic waste;;;;;
2796.jpg;organic waste;;;;;
2706.jpg;organic waste;;;;;
2954.jpg;organic waste;;;;;
3011.jpg;organic waste;;;;;
3000.jpg;organic waste;;;;;
2726.jpg;organic waste;;;;;
2894.jpg;organic waste;;;;;
2932.jpg;organic waste;;;;;
2885.jpg;organic waste;;;;;
3008.jpg;organic waste;;;;;
2843.jpg;organic waste;;;;;
2704.jpg;organic waste;;;;;
2945.jpg;organic waste;;;;;
2960.jpg;organic waste;;;;;
2994.jpg;organic waste;;;;;
3005.jpg;organic waste;;;;;
2807.jpg;organic waste;;;;;
2707.jpg;organic waste;;;;;
2952.jpg;organic waste;;;;;
2884.jpg;organic waste;;;;;
2957.jpg;organic waste;;;;;
2846.jpg;organic waste;;;;;
2804.jpg;organic waste;;;;;
2937.jpg;organic waste;;;;;
2725.jpg;organic waste;;;;;
2703.jpg;organic waste;;;;;
2836.jpg;organic waste;;;;;
2738.jpg;organic waste;;;;;
2795.jpg;organic waste;;;;;
2941.jpg;organic waste;;;;;
0901.jpg;brown glass;;;;;
0863.jpg;brown glass;;;;;
0888.jpg;brown glass;;;;;
1068.jpg;brown glass;;;;;
0965.jpg;brown glass;;;;;
3334.jpg;brown glass;;;;;
0970.jpg;brown glass;;;;;
1118.jpg;brown glass;;;;;
1121.jpg;brown glass;;;;;
3025.jpg;brown glass;;;;;
1161.jpg;brown glass;;;;;
1093.jpg;brown glass;;;;;
0880.jpg;brown glass;;;;;
0899.jpg;brown glass;;;;;
1063.jpg;brown glass;;;;;
0902.jpg;brown glass;;;;;
1023.jpg;brown glass;;;;;
3060.jpg;brown glass;;;;;
0949.jpg;brown glass;;;;;
1130.jpg;brown glass;;;;;
0865.jpg;brown glass;;;;;
0710.jpg;brown glass;;;;;
4881.jpg;aluminium;;;;;
4863.jpg;aluminium;;;;;
4843.jpg;aluminium;;;;;
4903.jpg;aluminium;;;;;
1534.jpg;aluminium;;;;;
4912.jpg;aluminium;;;;;
5054.jpg;aluminium;;;;;
4882.jpg;aluminium;;;;;
4905.jpg;aluminium;;;;;
4900.jpg;aluminium;;;;;
1380.jpg;aluminium;;;;;
4848.jpg;aluminium;;;;;
1448.jpg;aluminium;;;;;
4861.jpg;aluminium;;;;;
1231.jpg;aluminium;;;;;
1484.jpg;aluminium;;;;;
4902.jpg;aluminium;;;;;
4841.jpg;aluminium;;;;;
4846.jpg;aluminium;;;;;
0206.jpg;aluminium;;;;;
1387.jpg;aluminium;;;;;
4879.jpg;aluminium;;;;;
1288.jpg;aluminium;;;;;
1386.jpg;aluminium;;;;;
4896.jpg;aluminium;;;;;
1596.jpg;aluminium;;;;;
1493.jpg;aluminium;;;;;
1820.jpg;paper;;;;;
2159.jpg;paper;;;;;
1645.jpg;paper;;;;;
1895.jpg;paper;;;;;
2098.jpg;paper;;;;;
1938.jpg;paper;;;;;
2125.jpg;paper;;;;;
2037.jpg;paper;;;;;
2213.jpg;paper;;;;;
1773.jpg;paper;;;;;
1724.jpg;paper;;;;;
1864.jpg;paper;;;;;
2182.jpg;paper;;;;;
1846.jpg;paper;;;;;
1767.jpg;paper;;;;;
1689.jpg;paper;;;;;
1951.jpg;paper;;;;;
2108.jpg;paper;;;;;
1873.jpg;paper;;;;;
2081.jpg;paper;;;;;
1990.jpg;paper;;;;;
2049.jpg;paper;;;;;
1986.jpg;paper;;;;;
2012.jpg;paper;;;;;
1943.jpg;paper;;;;;
1917.jpg;paper;;;;;
1927.jpg;paper;;;;;
1675.jpg;paper;;;;;
1973.jpg;paper;;;;;
2116.jpg;paper;;;;;
1643.jpg;paper;;;;;
2134.jpg;paper;;;;;
1946.jpg;paper;;;;;
1931.jpg;paper;;;;;
1947.jpg;paper;;;;;
2149.jpg;paper;;;;;
2017.jpg;paper;;;;;
2172.jpg;paper;;;;;
1755.jpg;paper;;;;;
2110.jpg;paper;;;;;
1977.jpg;paper;;;;;
1692.jpg;paper;;;;;
0263.jpg;paper;;;;;
1723.jpg;paper;;;;;
2085.jpg;paper;;;;;
1697.jpg;paper;;;;;
1649.jpg;paper;;;;;
2001.jpg;paper;;;;;
1976.jpg;paper;;;;;
1739.jpg;paper;;;;;
0241.jpg;paper;;;;;
2076.jpg;paper;;;;;
2003.jpg;paper;;;;;
2132.jpg;paper;;;;;
1742.jpg;paper;;;;;
2153.jpg;paper;;;;;
1654.jpg;paper;;;;;
2025.jpg;paper;;;;;
1858.jpg;paper;;;;;
1900.jpg;paper;;;;;
2004.jpg;paper;;;;;
1915.jpg;paper;;;;;
1866.jpg;paper;;;;;
1814.jpg;paper;;;;;
1737.jpg;paper;;;;;
1912.jpg;paper;;;;;
2204.jpg;paper;;;;;
2047.jpg;paper;;;;;
1690.jpg;paper;;;;;
1888.jpg;paper;;;;;
1752.jpg;paper;;;;;
1965.jpg;paper;;;;;
1925.jpg;paper;;;;;
2173.jpg;paper;;;;;
2087.jpg;paper;;;;;
2058.jpg;paper;;;;;
2111.jpg;paper;;;;;
1865.jpg;paper;;;;;
1975.jpg;paper;;;;;
1791.jpg;paper;;;;;
1798.jpg;paper;;;;;
1882.jpg;paper;;;;;
2118.jpg;paper;;;;;
1750.jpg;paper;;;;;
0874.jpg;green glass;;;;;
1080.jpg;green glass;;;;;
3285.jpg;green glass;;;;;
0739.jpg;green glass;;;;;
0852.jpg;green glass;;;;;
1192.jpg;green glass;;;;;
0971.jpg;green glass;;;;;
0722.jpg;green glass;;;;;
1105.jpg;green glass;;;;;
0780.jpg;green glass;;;;;
0732.jpg;green glass;;;;;
0759.jpg;green glass;;;;;
1193.jpg;green glass;;;;;
0869.jpg;green glass;;;;;
0954.jpg;green glass;;;;;
0856.jpg;green glass;;;;;
1145.jpg;green glass;;;;;
1069.jpg;green glass;;;;;
0945.jpg;white glass;;;;;
0964.jpg;white glass;;;;;
1166.jpg;white glass;;;;;
0947.jpg;white glass;;;;;
0892.jpg;white glass;;;;;
1102.jpg;white glass;;;;;
1199.jpg;white glass;;;;;
1154.jpg;white glass;;;;;
0936.jpg;white glass;;;;;
1153.jpg;white glass;;;;;
0834.jpg;white glass;;;;;
0973.jpg;white glass;;;;;
0718.jpg;white glass;;;;;
1022.jpg;white glass;;;;;
0938.jpg;white glass;;;;;
1147.jpg;white glass;;;;;
1164.jpg;white glass;;;;;
0979.jpg;white glass;;;;;
0740.jpg;white glass;;;;;
0828.jpg;white glass;;;;;
0993.jpg;white glass;;;;;
0804.jpg;white glass;;;;;
0953.jpg;white glass;;;;;
0755.jpg;white glass;;;;;
1127.jpg;white glass;;;;;
1115.jpg;white glass;;;;;
0929.jpg;white glass;;;;;
1027.jpg;white glass;;;;;
0753.jpg;white glass;;;;;
1142.jpg;white glass;;;;;
0855.jpg;white glass;;;;;
1152.jpg;white glass;;;;;
1032.jpg;white glass;;;;;
1016.jpg;white glass;;;;;
0942.jpg;white glass;;;;;
0968.jpg;white glass;;;;;
0876.jpg;white glass;;;;;
0846.jpg;white glass;;;;;
0774.jpg;white glass;;;;;
0790.jpg;white glass|metal;;;;;
3337.jpg;white glass|metal;;;;;
0787.jpg;white glass|metal;;;;;
3126.jpg;white glass|metal;;;;;
3343.jpg;white glass|metal;;;;;
3197.jpg;white glass|metal;;;;;
3336.jpg;white glass|metal;;;;;
3425.jpg;white glass|metal;;;;;
0813.jpg;white glass|metal;;;;;
2504.jpg;pet;;;;;
2256.jpg;pet;;;;;
4241.jpg;pet;;;;;
2517.jpg;pet;;;;;
2583.jpg;pet;;;;;
4216.jpg;pet;;;;;
2641.jpg;pet;;;;;
2245.jpg;pet;;;;;
2443.jpg;pet;;;;;
3898.jpg;pet;;;;;
2359.jpg;pet;;;;;
2328.jpg;pet;;;;;
3876.jpg;pet;;;;;
2403.jpg;pet;;;;;
2309.jpg;pet;;;;;
2668.jpg;pet;;;;;
2373.jpg;pet;;;;;
4245.jpg;pet;;;;;
2663.jpg;pet;;;;;
2495.jpg;pet;;;;;
2258.jpg;pet;;;;;
3942.jpg;pet;;;;;
2594.jpg;pet;;;;;
3943.jpg;pet;;;;;
4063.jpg;pet;;;;;
5251.jpg;pet;;;;;
2557.jpg;pet;;;;;
2275.jpg;pet;;;;;
4234.jpg;pet;;;;;
